communityName,state,population,popDens,numbUrban,pctUrban,medIncome,medRent,PctHousOccup,PctHousOwnOcc,PersPerOwnOccHous,PersPerRentOccHous,burglPerPop,larcPerPop,robbPerPop,theftComb
Greshamcity,OR,68235,2984.9,68235,100.0,31833,446,95.28,58.35,2.83,2.33,920.07,2900.22,137.51,3957.8
Eriecity,PA,108718,4772.8,108718,100.0,22032,314,92.75,56.58,2.63,2.27,920.08,3003.4,392.35,4315.83
Provocity,UT,86835,2170.4,86830,99.98,21162,336,96.85,39.91,3.48,3.22,561.24,3191.77,19.89,3772.9
Lewistoncity,ME,39757,1125.5,39757,100.0,24051,361,92.43,47.03,2.68,2.09,1427.24,4786.85,128.29,6342.38
GrandRapidscity,MI,189126,4124.7,189126,100.0,26809,414,93.64,59.9,2.75,2.38,1651.02,4610.43,433.0,6694.450000000001
VanWertcity,OH,10891,2102.0,0,0.0,25324,330,92.67,71.86,2.52,2.26,936.2,3484.74,0.0,4420.94
NortonShorescity,MI,21755,903.4,21755,100.0,33646,460,95.92,87.29,2.64,2.29,486.84,2497.3,40.57,3024.7100000000005
Ithacacity,NY,29541,5228.9,29541,100.0,17738,493,95.45,28.89,2.42,2.2,1486.91,5666.71,198.71,7352.33
Jacksonvillecity,NC,30013,2229.1,30013,100.0,25698,443,92.43,48.65,2.74,2.65,1338.82,3944.18,173.81,5456.81
Vermilioncity,OH,11127,1004.2,11127,100.0,37500,449,91.0,73.33,2.89,2.44,262.79,2172.39,8.76,2443.94
PembrokePinescity,FL,65452,1977.9,65291,99.75,36431,685,90.44,76.79,2.45,2.23,786.78,3858.98,124.48,4770.24
Westervillecity,OH,29092,3417.4,29092,100.0,48137,505,96.99,75.8,3.06,2.14,483.05,2529.58,48.59,3061.2200000000003
NorthAdamscity,MA,16797,793.1,0,0.0,22100,363,91.65,50.62,2.57,2.16,969.88,2607.75,12.85,3590.48
Wallingtonborough,NJ,10828,10395.5,10828,100.0,32332,573,95.69,41.52,2.62,2.11,493.31,1906.84,28.46,2428.61
Mequoncity,WI,18885,394.7,18900,100.0,60900,542,96.62,91.39,2.93,2.47,161.66,974.55,0.0,1136.21
Cumberlandcity,MD,23706,2763.5,23706,100.0,16442,274,89.81,55.37,2.36,2.11,922.23,3880.03,62.31,4864.570000000001
CottageGrovecity,MN,22935,651.7,22464,97.95,46027,610,96.5,93.48,3.36,3.18,398.8,2326.35,59.08,2784.23
Berkeleycity,MO,12450,2435.4,12450,100.0,26372,460,90.95,70.58,2.91,2.87,1616.56,2545.88,437.33,4599.77
Kingstoncity,NY,23095,3021.3,0,0.0,29133,514,92.0,49.71,2.55,2.09,740.04,3888.44,94.11,4722.589999999999
Denvercity,CO,467610,2944.6,467567,99.99,25106,386,88.03,49.19,2.36,1.98,1804.51,3530.34,368.3,5703.150000000001
GalenaParkcity,TX,10033,1941.4,10033,100.0,24103,408,92.96,70.47,3.11,3.65,873.82,1478.78,67.22,2419.8199999999997
Leicestertown,MA,10191,421.0,5382,52.81,40321,527,95.29,74.73,3.04,2.16,367.37,941.97,9.42,1318.7600000000002
Moorecity,OK,40318,1810.6,40318,100.0,32984,465,91.52,74.09,2.95,2.99,998.74,2522.52,42.0,3563.26
Alamedacity,CA,76459,6865.9,76459,100.0,38122,676,95.28,46.28,2.46,2.28,972.59,4145.85,302.28,5420.72
BeaverDamcity,WI,14196,2880.2,0,0.0,25976,387,95.9,63.28,2.66,2.02,408.19,4871.52,0.0,5279.71
Wallingfordtown,CT,40822,1009.8,35250,86.32,42783,617,95.17,71.93,2.81,2.15,541.93,2020.13,31.45,2593.5099999999998
Fairfieldcity,OH,39729,1840.1,39729,100.0,38531,509,93.91,63.97,2.8,2.11,769.38,3462.21,58.43,4290.02
Millbraecity,CA,20412,6133.4,20412,100.0,45999,838,97.24,64.12,2.64,2.34,462.5,1759.4,128.74,2350.6400000000003
BossierCitycity,LA,52721,1338.2,52718,100.0,25918,376,87.24,57.38,2.71,2.63,1019.01,4656.77,136.96,5812.740000000001
Brainerdcity,MN,12353,1732.1,0,0.0,17985,323,94.78,55.38,2.52,1.99,1266.47,5673.5,36.6,6976.570000000001
Lancastercity,PA,55551,7270.3,55551,100.0,22210,390,94.31,47.2,2.54,2.44,1525.53,4815.28,472.19,6812.999999999999
LakeCharlescity,LA,70580,2123.3,70580,100.0,21225,339,89.85,58.4,2.67,2.44,1289.84,4023.22,226.41,5539.469999999999
Ashlandtown,MA,12066,935.8,10360,85.86,51173,721,95.56,74.0,2.73,2.19,199.89,559.69,8.0,767.58
Richlandtownship,PA,12777,631.1,9277,73.08,27154,354,96.16,75.64,2.61,1.85,366.89,1679.25,0.0,2046.1399999999999
Arcadiacity,CA,48290,4284.1,48290,100.0,47347,716,94.19,61.57,2.83,2.23,942.88,2854.17,188.58,3985.63
Miltontown,MA,25725,1904.3,25725,100.0,53130,763,97.18,82.51,2.98,2.25,264.18,932.18,56.61,1252.9699999999998
Wilsoncity,NC,36930,1925.8,0,0.0,21881,333,94.01,49.32,2.51,2.38,3409.72,6816.92,470.48,10697.119999999999
HighlandParkcity,IL,30575,2449.9,30575,100.0,71905,696,96.39,80.39,2.83,2.34,172.71,1368.61,22.81,1564.1299999999999
Indiocity,CA,36793,2084.8,36793,100.0,25976,495,82.49,49.04,3.25,3.45,1742.62,4214.06,363.15,6319.83
Frederickcity,MD,40148,2130.4,40148,100.0,34891,582,94.34,45.5,2.58,2.35,943.26,3379.11,187.37,4509.74
MercerIslandcity,WA,20816,3148.2,20816,100.0,61572,607,96.23,78.66,2.74,2.05,422.71,1470.1,28.18,1920.99
ForestParkcity,OH,18609,2834.7,18609,100.0,37050,550,94.83,65.67,3.12,2.31,395.34,5413.53,195.03,6003.9
Logancity,UT,32762,2238.5,32762,100.0,21312,328,96.45,43.24,3.09,2.7,355.1,3149.82,13.55,3518.4700000000003
RockvilleCentrevillage,NY,24727,7276.1,24727,100.0,55476,591,96.53,68.27,2.99,1.98,343.77,1810.77,111.92,2266.46
Mankatocity,MN,31468,2685.8,0,0.0,22476,385,95.99,51.45,2.67,2.24,1037.89,5558.53,28.39,6624.81
NewportNewscity,VA,170045,2401.8,170045,100.0,27469,439,91.72,50.03,2.69,2.49,1161.22,4016.47,39.24,5216.929999999999
AlexanderCitycity,AL,14917,370.6,0,0.0,20970,263,93.11,64.84,2.62,2.41,368.03,506.05,72.29,946.3699999999999
Cranfordtownship,NJ,22633,4533.9,22624,100.0,54469,770,97.23,81.91,2.87,2.1,301.43,1881.76,25.84,2209.03
Banningcity,CA,20570,1077.0,0,0.0,22514,471,89.77,65.46,2.48,3.18,1722.6,3020.92,237.6,4981.120000000001
LosBanoscity,CA,14519,2007.6,0,0.0,24649,410,94.12,60.12,2.86,3.06,1198.2,4398.96,105.4,5702.5599999999995
Glasgowcity,KY,12351,1131.9,0,0.0,17805,255,92.92,58.29,2.43,2.21,225.24,419.42,0.0,644.6600000000001
Laurinburgcity,NC,11643,1493.5,0,0.0,16496,311,92.32,52.18,2.6,2.43,2128.46,5516.0,209.85,7854.31
Portalescity,NM,10690,2066.9,0,0.0,16162,268,89.27,57.2,2.59,2.35,1558.75,1822.54,15.99,3397.2799999999997
Romuluscity,MI,22897,615.4,22898,100.0,31723,420,95.39,64.5,3.05,2.62,1397.0,4960.86,216.25,6574.11
Beniciacity,CA,24437,1844.6,24437,100.0,49660,672,96.05,70.13,2.79,2.32,1152.39,2227.46,77.32,3457.1700000000005
Medfordtownship,NJ,20526,503.9,15808,77.01,59834,804,96.23,81.31,3.16,2.05,418.83,1489.7,23.8,1932.33
MineralWellscity,TX,14870,705.5,0,0.0,19456,329,87.02,65.69,2.52,2.74,1206.11,2988.47,20.1,4214.68
Alhambracity,CA,82106,10393.2,82106,100.0,31368,636,95.39,40.59,2.94,2.76,1053.81,2027.47,366.59,3447.87
NewAlbanycity,IN,36322,2625.2,36322,100.0,23933,348,94.22,59.32,2.52,2.26,488.81,3677.85,54.89,4221.55
Annapoliscity,MD,33187,5063.6,33187,100.0,35516,602,92.19,47.76,2.39,2.27,1558.4,4401.34,567.46,6527.2
Whitewatercity,WI,10170,2566.9,0,0.0,19635,360,95.53,36.6,2.64,2.31,283.04,2213.51,14.51,2511.0600000000004
Greercity,SC,10322,2003.5,10322,100.0,18049,309,93.45,56.17,2.37,2.45,1288.02,4113.35,299.15,5700.52
Millburntownship,NJ,18630,1915.8,18630,100.0,83275,849,97.2,81.76,2.85,1.92,587.02,2321.65,74.04,2982.71
Warwickcity,RI,85427,2322.5,85427,100.0,35786,570,95.15,74.41,2.73,1.91,603.19,2851.44,40.83,3495.46
Pepperelltown,MA,10098,432.1,0,0.0,44492,664,96.58,74.68,3.16,2.37,525.46,1136.91,0.0,1662.3700000000001
EastBrunswicktownship,NJ,43548,1910.5,43548,100.0,58769,731,96.92,84.3,3.03,2.31,469.44,2613.89,39.67,3123.0
FortSmithcity,AR,72798,1504.0,72798,100.0,23835,315,89.69,59.16,2.58,2.18,1276.83,5245.22,82.21,6604.26
Bostoncity,MA,574283,11447.7,574283,100.0,29180,625,91.07,30.88,2.64,2.25,1449.39,4501.24,741.04,6691.67
SouthMilwaukeecity,WI,20958,4233.9,20958,100.0,31998,437,97.54,61.14,2.8,2.09,711.87,3294.22,39.28,4045.37
Glastonburytown,CT,27901,524.3,19758,70.81,57464,698,96.39,78.69,2.75,2.15,329.35,1521.44,3.58,1854.37
Midvalecity,UT,11886,3346.3,11886,100.0,21183,347,93.12,40.5,2.81,2.4,1473.09,7381.63,129.5,8984.22
Bloomingtoncity,IN,60633,3871.8,60633,100.0,18393,403,95.27,34.2,2.39,2.09,560.89,2847.23,15.84,3423.96
MountainViewcity,CA,67460,5410.7,67460,100.0,42431,760,95.25,37.75,2.26,2.21,787.69,4671.7,116.41,5575.799999999999
Allencity,TX,18309,930.3,18157,99.17,47869,643,95.51,74.76,3.11,3.09,537.93,1794.29,3.61,2335.83
Madisoncity,WI,191262,3196.2,191262,100.0,29420,472,96.64,46.96,2.6,2.04,818.74,3806.15,161.1,4785.990000000001
Athenscity,TX,10967,768.4,0,0.0,18870,329,87.4,58.94,2.44,2.52,1398.23,3053.1,17.7,4469.03
LincolnParkcity,MI,41832,6903.0,41832,100.0,30638,432,96.98,78.45,2.68,2.16,698.22,3483.71,164.72,4346.650000000001
Somersworthcity,NH,11249,1110.1,11249,100.0,32886,510,92.69,58.28,2.72,2.35,587.55,2341.32,8.9,2937.77
Ypsilanticity,MI,24846,5501.8,24846,100.0,21219,402,91.74,33.69,2.68,2.23,1714.55,3509.14,463.39,5687.08
HazelCrestvillage,IL,13334,3814.1,13334,100.0,40369,588,92.06,80.92,3.07,2.55,712.68,2523.45,196.35,3432.4799999999996
Braintreetown,MA,33836,2351.7,33836,100.0,44734,647,97.74,76.68,2.96,2.11,562.33,2191.94,63.12,2817.39
Dovercity,OH,11329,2301.7,0,0.0,27688,332,95.74,73.07,2.56,2.17,514.05,2893.62,24.87,3432.54
CollegeParkcity,GA,20457,2035.9,20236,100.0,22194,478,80.03,22.24,2.49,2.53,2520.28,8480.86,880.79,11881.93
Elizabethcity,NJ,110002,8617.3,110002,100.0,27631,520,94.64,31.7,3.17,2.57,1732.35,3797.88,821.72,6351.95
Smyrnatown,TN,13647,716.2,0,0.0,31155,450,91.04,55.85,2.87,2.67,642.41,2260.12,110.96,3013.49
Clarksvillecity,TN,75494,997.3,75494,100.0,25341,377,92.04,54.66,2.78,2.59,935.26,2728.82,119.71,3783.79
Ramseycity,MN,12408,416.1,12408,100.0,46101,575,98.53,96.49,3.45,2.69,523.73,2088.59,12.62,2624.94
Patersoncity,NJ,140891,16110.7,140891,100.0,26960,524,95.25,33.62,3.36,3.03,2345.21,2934.38,783.41,6063.0
Dovercity,DE,27630,1251.2,27529,100.0,31308,470,94.42,53.88,2.65,2.28,859.88,6118.53,267.21,7245.62
Ankenycity,IA,18482,1356.3,0,0.0,36582,430,96.75,64.98,2.99,2.17,384.89,2229.52,4.69,2619.1
SomersPointcity,NJ,11216,2685.8,11216,100.0,31793,572,86.68,55.33,2.53,2.12,744.59,1956.71,51.95,2753.25
Orindacity,CA,16642,1275.8,16642,100.0,80968,1001,97.37,91.4,2.68,2.18,742.77,1411.27,34.28,2188.32
Sheffieldcity,AL,10380,1526.5,10380,100.0,20134,264,91.87,65.74,2.38,2.42,907.34,3581.08,9.65,4498.07
Fontanacity,CA,87535,2372.0,87535,100.0,35558,577,89.8,64.19,3.37,3.17,1546.16,1906.81,415.32,3868.2900000000004
Sunnysidecity,WA,11238,3030.7,0,0.0,20393,300,96.14,55.12,3.09,3.38,1344.29,9486.86,84.5,10915.650000000001
SpanishForkcity,UT,11272,1432.6,0,0.0,29023,358,96.79,73.76,3.58,3.09,455.66,3131.78,14.47,3601.91
AuburnHillscity,MI,17076,992.3,17076,100.0,34825,562,91.29,53.91,2.63,2.16,990.05,3739.01,105.32,4834.38
Douglascity,GA,10464,873.5,0,0.0,19038,276,90.31,61.67,2.63,2.6,3687.27,8415.84,162.17,12265.28
Germantownvillage,WI,13658,383.0,13658,100.0,43486,548,96.69,75.36,2.94,2.25,207.81,2249.25,30.56,2487.62
Irmotown,SC,11280,2775.6,11280,100.0,42281,633,96.76,85.16,3.06,2.99,522.38,1910.18,54.58,2487.14
Mitchellcity,SD,13798,1418.4,0,0.0,20146,274,93.68,56.2,2.67,1.9,951.37,3081.29,7.1,4039.7599999999998
AppleValleycity,MN,34598,1925.8,34598,100.0,49981,592,96.59,87.38,3.17,2.5,537.82,2377.87,14.94,2930.63
Roseburgcity,OR,17032,2209.7,0,0.0,23745,362,95.72,55.51,2.46,2.33,1263.43,5771.69,166.97,7202.09
Crestwoodcity,MO,11234,3400.1,11234,100.0,40926,469,98.19,90.71,2.53,2.14,301.93,5328.12,62.16,5692.21
HasbrouckHeightsborough,NJ,11488,7345.3,11488,100.0,44672,673,96.74,70.02,2.93,1.95,543.25,2096.6,67.91,2707.7599999999998
LaGrandecity,OR,11766,2831.1,0,0.0,21318,303,94.34,53.73,2.6,2.2,719.26,2583.14,23.2,3325.5999999999995
Kaukaunacity,WI,11982,2456.7,11982,100.0,30743,357,98.0,71.0,2.9,2.24,466.43,2115.61,16.66,2598.7
Bellevuecity,WA,86874,3175.7,86878,100.0,43800,610,95.53,58.22,2.65,2.08,748.6,4370.17,86.42,5205.1900000000005
RiverFallscity,WI,10610,2529.6,0,0.0,30535,430,97.19,50.99,2.89,2.22,223.89,5485.23,0.0,5709.12
Milwaukiecity,OR,18692,3789.9,18692,100.0,29693,438,96.7,58.1,2.57,2.05,789.49,2719.88,115.53,3624.9
Clemsoncity,SC,11096,1503.5,0,0.0,22265,411,95.42,47.02,2.57,2.2,1067.94,3257.65,26.92,4352.51
Marlboroughcity,MA,31813,1456.1,31813,100.0,41315,705,93.28,58.22,2.78,2.22,248.06,1285.15,2.99,1536.2
Greenbeltcity,MD,21096,3426.9,21096,100.0,38956,705,94.05,44.34,2.16,2.31,484.2,3648.31,215.73,4348.24
Stantoncity,CA,30491,9422.4,30491,100.0,33367,718,95.83,50.05,2.64,3.19,2099.7,3420.27,412.68,5932.65
Florencetownship,NJ,10266,1020.1,8780,85.47,37764,556,95.81,78.76,2.77,2.54,513.94,1399.07,95.17,2008.18
Harrisonburgcity,VA,30707,1687.6,0,0.0,25312,410,94.59,42.12,2.49,2.33,494.03,3612.99,50.59,4157.61
Trumbulltown,CT,32016,1325.9,32000,100.0,60634,854,97.73,92.52,2.97,2.43,476.91,3012.22,40.0,3529.1299999999997
BatonRougecity,LA,219531,2865.6,219531,100.0,21898,354,85.82,52.83,2.69,2.3,3293.5,7927.45,814.75,12035.7
RollingMeadowscity,IL,22591,4137.5,22591,100.0,45764,676,95.96,71.25,2.72,2.67,574.41,3024.37,26.11,3624.89
Watertowncity,SD,17592,1286.7,0,0.0,20606,282,92.29,63.78,2.69,2.0,520.38,3357.8,21.91,3900.09
Springfieldcity,TN,11227,1574.2,0,0.0,21645,299,93.66,56.85,2.6,2.5,856.62,5582.08,154.47,6593.17
Marquettecity,MI,21977,1859.9,0,0.0,24365,346,96.67,50.6,2.71,1.97,246.43,2921.28,13.44,3181.15
Miamitownship,OH,28199,819.5,23336,82.6,42530,440,96.49,83.49,3.03,2.35,427.52,2465.78,17.27,2910.57
CentralFallscity,RI,17637,14073.6,17637,100.0,18617,401,90.54,23.71,2.88,2.51,1416.94,2105.54,158.91,3681.39
Reedleycity,CA,15791,3912.5,0,0.0,24128,431,96.91,57.43,3.21,3.53,860.49,3618.79,82.51,4561.79
HotSpringscity,AR,32462,1086.8,0,0.0,15708,306,82.59,59.86,2.17,2.09,3349.59,7081.51,429.43,10860.53
MapleShadetownship,NJ,19211,4818.2,19211,100.0,32955,601,93.41,49.76,2.64,1.83,818.76,2064.69,45.77,2929.22
Huntsvillecity,TX,27925,1285.9,0,0.0,17876,389,85.96,36.44,2.5,2.23,819.23,2880.84,165.88,3865.9500000000003
Vidorcity,TX,10935,999.5,0,0.0,24568,331,91.48,73.88,2.74,2.74,648.28,3379.72,60.51,4088.51
Marshallcity,MN,12023,1582.1,0,0.0,25392,320,94.69,57.55,2.79,1.95,560.79,2462.61,24.38,3047.78
Hobbscity,NM,29115,1487.3,0,0.0,22807,324,83.09,66.04,2.85,2.75,2104.53,5223.34,99.11,7426.9800000000005
SanMarinocity,CA,12959,3322.8,12959,100.0,100077,1001,96.37,93.91,2.96,3.24,743.96,1112.26,125.22,1981.44
Auburncity,ME,24309,392.5,23649,97.28,27493,396,91.75,56.97,2.72,2.14,496.11,2365.07,34.21,2895.3900000000003
Salemcity,VA,23756,1575.7,23756,100.0,29047,404,95.34,67.43,2.46,2.18,347.49,2481.5,36.79,2865.7799999999997
FortMadisoncity,IA,11618,1211.1,0,0.0,22098,290,87.92,69.83,2.45,2.07,634.18,3475.96,8.03,4118.17
Inglewoodcity,CA,109602,11537.1,109602,100.0,29881,618,93.26,36.31,3.12,2.92,1410.91,2034.56,1201.21,4646.68
Crawfordsvillecity,IN,13584,1733.5,0,0.0,23156,314,94.15,60.02,2.46,2.04,1347.97,4280.16,20.84,5648.97
Nilescity,OH,21128,2404.8,21128,100.0,25547,333,95.15,65.12,2.68,2.06,594.46,3250.98,60.38,3905.82
SouthPasadenacity,CA,23936,6731.2,23936,100.0,43043,696,95.46,44.4,2.79,1.94,853.23,1622.34,228.33,2703.8999999999996
Kinstoncity,NC,25295,1859.4,0,0.0,18253,281,92.25,51.97,2.45,2.39,3061.58,7011.26,393.41,10466.25
GreenBaycity,WI,96466,2124.3,96466,100.0,26770,363,96.62,56.56,2.7,2.12,622.01,3252.97,44.43,3919.4099999999994
Ellensburgcity,WA,12361,2414.3,0,0.0,14456,312,95.41,36.38,2.39,1.94,670.55,3943.15,14.58,4628.28
Tulsacity,OK,367302,1931.9,367193,100.0,25708,358,88.22,55.81,2.47,2.1,1907.98,3391.21,303.06,5602.250000000001
Piscatawaytownship,NJ,47089,2419.6,47089,100.0,50451,645,96.28,67.46,3.18,2.27,758.22,1634.67,89.68,2482.57
Everettcity,MA,35701,10186.3,35701,100.0,30786,611,94.24,41.34,2.68,2.25,973.05,2059.72,163.15,3195.9199999999996
Hudsontown,MA,17233,1445.6,16384,95.07,45191,631,95.17,68.69,2.92,2.2,319.04,934.74,0.0,1253.78
PortOrangecity,FL,35317,1694.0,35317,100.0,26472,547,87.93,78.84,2.36,2.32,448.51,1951.01,19.93,2419.45
Herndontown,VA,16139,3684.7,16139,100.0,53840,731,94.12,64.29,3.02,2.85,233.1,3085.8,55.5,3374.4
Gillettecity,WY,17635,1314.9,0,0.0,35532,355,88.17,63.13,3.04,2.34,380.59,4461.36,15.86,4857.8099999999995
Manchestercity,NH,99567,2910.9,99567,100.0,31911,537,90.93,46.04,2.69,2.15,1301.14,3602.83,142.65,5046.62
BethelParkborough,PA,33823,2793.2,33823,100.0,41149,509,97.65,80.78,2.85,1.8,163.06,856.07,23.29,1042.42
Aberdeentown,MD,13087,2389.5,0,0.0,30043,440,95.91,52.45,2.78,2.43,1047.66,3961.93,118.05,5127.64
Amesburytown,MA,14997,1166.8,739,4.89,37889,601,92.09,57.59,2.89,2.3,528.9,1372.62,0.0,1901.52
PoplarBluffcity,MO,16996,1584.9,0,0.0,14868,247,90.61,55.9,2.36,2.31,2328.64,5978.94,108.71,8416.289999999999
Uxbridgetown,MA,10415,340.2,6275,60.25,40059,545,95.21,71.3,2.92,2.35,350.23,617.51,9.22,976.96
Westminstercity,MD,13068,2283.7,0,0.0,31298,473,94.72,43.76,2.58,2.1,1046.8,5110.84,129.99,6287.63
Northboroughtown,MA,11929,621.2,9612,80.58,57963,706,97.08,81.1,3.05,2.25,297.74,925.4,8.05,1231.1899999999998
Springdalecity,OH,10621,2081.4,10621,100.0,38128,557,95.71,60.68,2.69,2.11,739.77,9888.57,149.83,10778.17
Garnertown,NC,14967,1269.7,14967,100.0,36999,498,96.47,65.67,2.7,2.33,941.55,3444.71,80.38,4466.64
PalosVerdesEstatescity,CA,13512,2713.3,13512,100.0,101320,1001,96.39,90.8,2.77,2.37,642.21,963.32,0.0,1605.5300000000002
Williamsportcity,PA,31933,3468.4,31933,100.0,20290,322,94.46,46.48,2.6,2.27,1375.92,4629.22,150.44,6155.58
Poquosoncity,VA,11005,684.6,11005,100.0,43236,574,96.89,82.7,2.92,2.77,161.0,1271.08,8.47,1440.55
Muskegocity,WI,16813,519.7,16813,100.0,46119,620,96.6,84.79,3.11,2.4,278.18,884.21,0.0,1162.39
Goldencity,CO,13116,1685.0,13138,100.0,29099,416,92.39,56.93,2.37,2.03,774.54,3147.02,20.93,3942.49
Coppellcity,TX,16881,1106.5,0,0.0,58815,615,93.64,76.42,2.92,2.47,767.84,1419.1,4.02,2190.96
GrossePointeWoodscity,MI,17715,5241.1,17715,100.0,55657,775,98.34,93.92,2.7,2.54,119.01,1666.19,56.67,1841.8700000000001
Pomonacity,CA,131723,5570.2,131723,100.0,32132,592,94.74,57.43,3.47,3.59,1578.22,2573.43,688.14,4839.79
Manitowoccity,WI,32520,2177.5,0,0.0,24202,294,95.75,65.96,2.58,2.01,611.84,4072.94,9.0,4693.78
Roswellcity,NM,44654,1478.6,0,0.0,21870,343,88.78,69.08,2.68,2.66,1692.11,4753.23,64.2,6509.539999999999
GreenOaktownship,MI,11604,322.8,0,0.0,47421,526,91.45,86.66,2.91,2.49,637.48,1501.43,8.39,2147.2999999999997
Eastontown,MA,19807,672.2,14660,74.01,50647,714,95.95,78.43,3.04,2.24,718.49,1096.9,52.69,1868.0800000000002
Hermistoncity,OR,10040,1715.7,0,0.0,20674,307,93.99,52.5,2.61,2.52,897.54,4674.31,26.66,5598.51
Carrborotown,NC,11553,3156.6,11553,100.0,19799,463,92.29,24.3,2.39,1.94,1235.18,5062.12,221.33,6518.63
ElkGroveVillagevillage,IL,33429,3001.9,33429,100.0,48863,647,96.67,76.58,2.97,2.12,480.94,2802.1,28.8,3311.84
LittleRockcity,AR,175795,1649.7,175781,100.0,26889,415,89.6,56.21,2.57,2.11,3205.38,7911.69,628.25,11745.32
Thomasvillecity,GA,17457,1162.3,0,0.0,20349,329,90.45,60.3,2.57,2.54,2375.63,5182.7,218.39,7776.72
GrandJunctioncity,CO,29034,1887.3,29034,100.0,19042,313,93.52,50.37,2.29,2.02,1376.43,6541.11,67.59,7985.13
Beltoncity,TX,12476,1118.3,12476,100.0,18549,283,90.37,56.92,2.7,2.71,591.38,2224.73,70.4,2886.51
Gallupcity,NM,19154,1675.5,0,0.0,26622,353,92.51,60.53,3.12,2.83,1470.15,9794.47,236.01,11500.63
NiagaraFallscity,NY,61840,4248.1,61840,100.0,20641,330,90.69,55.99,2.55,2.09,1768.04,4853.82,342.68,6964.54
Lakewoodtownship,NJ,45048,1751.5,44090,97.87,29211,586,91.41,65.4,2.57,2.73,1558.42,3610.46,271.59,5440.47
Menashacity,WI,14638,3283.8,14638,100.0,27264,367,96.97,62.07,2.67,2.1,491.01,4004.59,0.0,4495.6
BrownDeervillage,WI,12236,2682.6,12236,100.0,44495,564,95.42,73.27,2.75,1.71,408.57,3251.9,58.37,3718.84
NorthCharlestoncity,SC,70218,1354.9,70161,100.0,21824,410,88.32,37.49,2.57,2.6,2191.91,8060.57,633.41,10885.89
NorthMiamicity,FL,49998,5728.5,49998,100.0,24898,489,91.04,48.68,2.71,2.18,2925.2,5283.41,937.02,9145.630000000001
Waukeshacity,WI,56958,3175.3,56958,100.0,36192,525,96.24,55.45,2.93,2.15,418.98,2668.95,31.34,3119.27
GroveCitycity,OH,19661,1879.5,19653,100.0,34350,451,96.18,66.8,2.78,2.32,346.76,2686.33,70.23,3103.32
Smithfieldtown,RI,19163,695.7,15909,83.02,42523,488,97.24,80.47,2.87,1.94,273.18,860.02,15.18,1148.38
Bluefieldcity,WV,12756,1461.5,0,0.0,21319,278,87.18,70.0,2.43,2.29,783.6,1970.87,110.81,2865.2799999999997
Tarborotown,NC,11037,1175.6,0,0.0,24375,327,93.83,61.05,2.53,2.41,1401.27,4476.8,245.68,6123.75
Pennsaukentownship,NJ,34738,3181.5,34733,100.0,36097,476,97.57,80.7,2.93,2.1,1626.65,2203.22,362.1,4191.97
Perrysburgcity,OH,12551,2599.8,12551,100.0,44277,447,95.52,71.3,2.92,1.81,332.18,2202.48,7.22,2541.8799999999997
Cullmancity,AL,13367,825.7,0,0.0,21114,286,94.72,58.91,2.43,2.04,625.48,2935.37,38.41,3599.2599999999998
Veronatownship,NJ,13597,4770.2,13597,100.0,55248,663,96.36,76.04,2.7,1.73,311.14,1403.76,57.89,1772.7900000000002
Fultoncity,NY,12929,3318.2,0,0.0,22955,375,94.08,52.28,2.61,2.29,962.72,4351.51,84.72,5398.950000000001
Jacksoncity,MS,196637,1741.2,196594,100.0,23270,388,90.54,57.3,2.78,2.46,3623.87,5946.51,771.31,10341.69
Azusacity,CA,41333,4433.0,41333,100.0,31889,650,95.61,48.16,3.1,3.24,1304.55,2038.79,233.2,3576.54
Barringtontown,RI,15849,1817.1,15849,100.0,53058,674,96.36,89.04,2.82,2.35,196.45,1666.67,31.69,1894.8100000000002
UpperChichestertownship,PA,15004,2156.5,15009,100.0,40216,563,93.13,72.0,3.07,2.1,399.71,2077.19,117.95,2594.85
Homewoodcity,AL,22922,3001.8,22922,100.0,30516,418,94.99,52.83,2.33,1.8,748.1,4596.65,241.05,5585.8
Englewoodcity,NJ,24850,4870.3,24850,100.0,46758,575,95.32,60.96,2.91,2.49,1291.07,2774.0,275.8,4340.87
Daytoncity,OH,182044,3194.8,182044,100.0,19779,329,90.42,50.98,2.47,2.35,2399.53,5282.53,822.52,8504.58
SanLeandrocity,CA,68223,5022.3,68223,100.0,35681,650,96.49,58.51,2.47,2.13,1218.52,4879.79,512.61,6610.919999999999
Simpsonvilletown,SC,11708,2046.9,11708,100.0,34990,442,94.07,68.46,2.91,2.39,500.27,1685.52,30.79,2216.58
Tooelecity,UT,13887,1079.2,0,0.0,29784,357,93.29,74.47,2.94,2.56,753.47,3456.71,6.61,4216.79
CanonCitycity,CO,12687,1554.0,0,0.0,18423,321,90.19,65.61,2.32,2.14,1080.44,3373.76,41.82,4496.02
Summervilletown,SC,22519,1558.2,22537,100.0,31448,416,91.73,59.67,2.98,2.35,1391.1,5511.25,181.64,7083.990000000001
WestWhitelandtownship,PA,12403,923.7,12099,97.55,50598,711,93.9,70.59,2.89,2.04,356.75,3234.5,23.78,3615.03
WhitePlainscity,NY,48718,4794.1,48718,100.0,44004,589,93.81,51.63,2.56,2.21,412.64,4430.35,169.08,5012.070000000001
DelCitycity,OK,23928,3064.5,23921,100.0,25550,377,85.33,67.98,2.54,2.7,1196.75,3293.16,117.16,4607.07
